	artist_ids	artist_names	popularity_score	track_ids	track_names	genres_all	acousticness	analysis_url	danceability	duration_ms	energy	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	type	uri	valence
950	329e4yvIujISKGKz1BZZbO	Farruko	62	30R2SoOAsKJmaHzA7CGZdA	Inolvidable	latin, latin hip hop, reggaeton, trap latino, tropical	0.239	https://api.spotify.com/v1/audio-analysis/30R2SoOAsKJmaHzA7CGZdA	0.677	219044	0.797	0.000235	11	0.248	-4.131	1	0.0759	172.044	4	https://api.spotify.com/v1/tracks/30R2SoOAsKJmaHzA7CGZdA	audio_features	spotify:track:30R2SoOAsKJmaHzA7CGZdA	0.903
951	7bvAtcPT3evvSeHDyu2zBC	Bryan & Katie Torwalt	55	6ibX7aG1bsQzTJb5gUjCpn	My Hallelujah	anthem worship, christian music, world worship, worship	0.879	https://api.spotify.com/v1/audio-analysis/6ibX7aG1bsQzTJb5gUjCpn	0.453	246620	0.498	2.27e-05	2	0.106	-8.341	1	0.0427	137.831	4	https://api.spotify.com/v1/tracks/6ibX7aG1bsQzTJb5gUjCpn	audio_features	spotify:track:6ibX7aG1bsQzTJb5gUjCpn	0.178
952	7bvAtcPT3evvSeHDyu2zBC	Bryan & Katie Torwalt	55	6ibX7aG1bsQzTJb5gUjCpn	My Hallelujah	anthem worship, christian music, world worship, worship	0.879	https://api.spotify.com/v1/audio-analysis/6ibX7aG1bsQzTJb5gUjCpn	0.453	246620	0.498	2.27e-05	2	0.106	-8.341	1	0.0427	137.831	4	https://api.spotify.com/v1/tracks/6ibX7aG1bsQzTJb5gUjCpn	audio_features	spotify:track:6ibX7aG1bsQzTJb5gUjCpn	0.178
953	7AbKOHOvn27dK0FOiboAno	Black Atlass	62	4LbfLqheRZesqH794Avpd9	Sacrifice (feat. Jessie Reyez)	trap soul	0.339	https://api.spotify.com/v1/audio-analysis/4LbfLqheRZesqH794Avpd9	0.512	209360	0.469	5.88e-05	6	0.118	-7.813	0	0.0416	126.671	3	https://api.spotify.com/v1/tracks/4LbfLqheRZesqH794Avpd9	audio_features	spotify:track:4LbfLqheRZesqH794Avpd9	0.291
954	2rWCIhENZyPVDAeFC0ESWN	Josh A	45	2rlnMHRQcYQvTi6OHjVLTS	Fearless	emo rap, lo-fi beats	0.137	https://api.spotify.com/v1/audio-analysis/2rlnMHRQcYQvTi6OHjVLTS	0.774	140156	0.668	0.0	1	0.424	-6.79	1	0.316	140.099	4	https://api.spotify.com/v1/tracks/2rlnMHRQcYQvTi6OHjVLTS	audio_features	spotify:track:2rlnMHRQcYQvTi6OHjVLTS	0.507
955	2rWCIhENZyPVDAeFC0ESWN	Josh A	45	2rlnMHRQcYQvTi6OHjVLTS	Fearless	emo rap, lo-fi beats	0.137	https://api.spotify.com/v1/audio-analysis/2rlnMHRQcYQvTi6OHjVLTS	0.774	140156	0.668	0.0	1	0.424	-6.79	1	0.316	140.099	4	https://api.spotify.com/v1/tracks/2rlnMHRQcYQvTi6OHjVLTS	audio_features	spotify:track:2rlnMHRQcYQvTi6OHjVLTS	0.507
956	2rWCIhENZyPVDAeFC0ESWN	Josh A	55	57b84jVYYBRxET9miVc5nZ	Rest in Pieces	emo rap, lo-fi beats	0.168	https://api.spotify.com/v1/audio-analysis/57b84jVYYBRxET9miVc5nZ	0.648	151832	0.682	9.17e-05	7	0.12	-7.9	0	0.0455	144.922	4	https://api.spotify.com/v1/tracks/57b84jVYYBRxET9miVc5nZ	audio_features	spotify:track:57b84jVYYBRxET9miVc5nZ	0.258
957	2rWCIhENZyPVDAeFC0ESWN	Josh A	55	57b84jVYYBRxET9miVc5nZ	Rest in Pieces	emo rap, lo-fi beats	0.168	https://api.spotify.com/v1/audio-analysis/57b84jVYYBRxET9miVc5nZ	0.648	151832	0.682	9.17e-05	7	0.12	-7.9	0	0.0455	144.922	4	https://api.spotify.com/v1/tracks/57b84jVYYBRxET9miVc5nZ	audio_features	spotify:track:57b84jVYYBRxET9miVc5nZ	0.258
958	1W3FSF1BLpY3hlVIgvenLz	The-Dream	46	5CKAdIqcxvpSR4svKpYD8n	Bedroom	dance pop, hip hop, hip pop, indie r&b, pop, pop rap, r&b, rap, southern hip hop, trap music, urban contemporary	0.665	https://api.spotify.com/v1/audio-analysis/5CKAdIqcxvpSR4svKpYD8n	0.654	241452	0.585	5.1e-05	10	0.107	-7.518	0	0.0928	125.79	4	https://api.spotify.com/v1/tracks/5CKAdIqcxvpSR4svKpYD8n	audio_features	spotify:track:5CKAdIqcxvpSR4svKpYD8n	0.46
959	1W3FSF1BLpY3hlVIgvenLz	The-Dream	46	5CKAdIqcxvpSR4svKpYD8n	Bedroom	dance pop, hip hop, hip pop, indie r&b, pop, pop rap, r&b, rap, southern hip hop, trap music, urban contemporary	0.665	https://api.spotify.com/v1/audio-analysis/5CKAdIqcxvpSR4svKpYD8n	0.654	241452	0.585	5.1e-05	10	0.107	-7.518	0	0.0928	125.79	4	https://api.spotify.com/v1/tracks/5CKAdIqcxvpSR4svKpYD8n	audio_features	spotify:track:5CKAdIqcxvpSR4svKpYD8n	0.46
960	1W3FSF1BLpY3hlVIgvenLz	The-Dream	14	1xB7DuHbyI9oJhPIm7cFT3	Challenger	dance pop, hip hop, hip pop, indie r&b, pop, pop rap, r&b, rap, southern hip hop, trap music, urban contemporary	0.00221	https://api.spotify.com/v1/audio-analysis/1xB7DuHbyI9oJhPIm7cFT3	0.678	191101	0.726	0.0	0	0.31	-3.892	0	0.0449	120.004	4	https://api.spotify.com/v1/tracks/1xB7DuHbyI9oJhPIm7cFT3	audio_features	spotify:track:1xB7DuHbyI9oJhPIm7cFT3	0.675
961	1W3FSF1BLpY3hlVIgvenLz	The-Dream	14	1xB7DuHbyI9oJhPIm7cFT3	Challenger	dance pop, hip hop, hip pop, indie r&b, pop, pop rap, r&b, rap, southern hip hop, trap music, urban contemporary	0.00221	https://api.spotify.com/v1/audio-analysis/1xB7DuHbyI9oJhPIm7cFT3	0.678	191101	0.726	0.0	0	0.31	-3.892	0	0.0449	120.004	4	https://api.spotify.com/v1/tracks/1xB7DuHbyI9oJhPIm7cFT3	audio_features	spotify:track:1xB7DuHbyI9oJhPIm7cFT3	0.675
962	1W3FSF1BLpY3hlVIgvenLz	The-Dream	14	3pgyp0UBaRMU3vmWEo1HI9	Back In Love	dance pop, hip hop, hip pop, indie r&b, pop, pop rap, r&b, rap, southern hip hop, trap music, urban contemporary	0.322	https://api.spotify.com/v1/audio-analysis/3pgyp0UBaRMU3vmWEo1HI9	0.622	261846	0.583	0.0	0	0.0953	-5.498	1	0.0895	119.92	4	https://api.spotify.com/v1/tracks/3pgyp0UBaRMU3vmWEo1HI9	audio_features	spotify:track:3pgyp0UBaRMU3vmWEo1HI9	0.697
963	1W3FSF1BLpY3hlVIgvenLz	The-Dream	14	3pgyp0UBaRMU3vmWEo1HI9	Back In Love	dance pop, hip hop, hip pop, indie r&b, pop, pop rap, r&b, rap, southern hip hop, trap music, urban contemporary	0.322	https://api.spotify.com/v1/audio-analysis/3pgyp0UBaRMU3vmWEo1HI9	0.622	261846	0.583	0.0	0	0.0953	-5.498	1	0.0895	119.92	4	https://api.spotify.com/v1/tracks/3pgyp0UBaRMU3vmWEo1HI9	audio_features	spotify:track:3pgyp0UBaRMU3vmWEo1HI9	0.697
964	1W3FSF1BLpY3hlVIgvenLz	The-Dream	13	25xoHojQMI4FI5bWoIo2J0	Night Thang	dance pop, hip hop, hip pop, indie r&b, pop, pop rap, r&b, rap, southern hip hop, trap music, urban contemporary	0.0707	https://api.spotify.com/v1/audio-analysis/25xoHojQMI4FI5bWoIo2J0	0.854	259869	0.604	0.00231	8	0.0986	-3.493	1	0.063	120.003	4	https://api.spotify.com/v1/tracks/25xoHojQMI4FI5bWoIo2J0	audio_features	spotify:track:25xoHojQMI4FI5bWoIo2J0	0.289
