	artist_names	popularity_score	track_names	genres_all	acousticness	danceability	duration_ms	energy	instrumentalness	liveness	loudness	mode	speechiness	tempo	time_signature	valence
563	Bad Wolves	62	Hear Me Now (feat. DIAMANTE)	alternative metal, metal	0.00343	0.33799999999999997	219760	0.8059999999999999	0.0	0.14400000000000002	-7.417000000000001	0	0.0767	160.821	4	0.278
564	Bad Wolves	50	Officer Down	alternative metal, metal	4.32e-06	0.43700000000000006	209051	0.978	0.265	0.386	-3.4939999999999998	0	0.136	160.105	4	0.449
565	Bad Wolves	50	Officer Down	alternative metal, metal	4.32e-06	0.43700000000000006	209051	0.978	0.265	0.386	-3.4939999999999998	0	0.136	160.105	4	0.449
566	Bad Wolves	50	Officer Down	alternative metal, metal	4.32e-06	0.43700000000000006	209051	0.978	0.265	0.386	-3.4939999999999998	0	0.136	160.105	4	0.449
567	Bad Wolves	50	Officer Down	alternative metal, metal	4.32e-06	0.43700000000000006	209051	0.978	0.265	0.386	-3.4939999999999998	0	0.136	160.105	4	0.449
568	Monsta X	68	Shoot Out	k-pop	0.0599	0.613	207173	0.868	0.0	0.35200000000000004	-2.792	0	0.14300000000000002	165.13299999999998	4	0.39399999999999996
569	Morgan Evans	61	Dance with Me (feat. Kelsea Ballerini)	australian country, australian pop, canadian contemporary country, contemporary country	0.48100000000000004	0.611	199501	0.519	4.82e-06	0.107	-9.854	1	0.035	147.981	4	0.462
570	Key Glock	59	Life Is Great	rap, southern hip hop, trap music, vapor trap	0.00565	0.907	145507	0.722	0.000145	0.126	-5.837000000000001	0	0.19399999999999998	131.993	4	0.8320000000000001
571	Key Glock	59	Life Is Great	rap, southern hip hop, trap music, vapor trap	0.00565	0.907	145507	0.722	0.000145	0.126	-5.837000000000001	0	0.19399999999999998	131.993	4	0.8320000000000001
572	Key Glock	58	Yea!!	rap, southern hip hop, trap music, vapor trap	0.00197	0.955	189753	0.759	0.0	0.14300000000000002	-4.437	0	0.196	130.033	4	0.703
573	Key Glock	58	Yea!!	rap, southern hip hop, trap music, vapor trap	0.00197	0.955	189753	0.759	0.0	0.14300000000000002	-4.437	0	0.196	130.033	4	0.703
574	Key Glock	49	Feeling Myself	rap, southern hip hop, trap music, vapor trap	0.055	0.922	193780	0.42700000000000005	0.0	0.14400000000000002	-6.492000000000001	0	0.27899999999999997	133.046	4	0.16699999999999998
575	Key Glock	49	Feeling Myself	rap, southern hip hop, trap music, vapor trap	0.055	0.922	193780	0.42700000000000005	0.0	0.14400000000000002	-6.492000000000001	0	0.27899999999999997	133.046	4	0.16699999999999998
576	Why Don't We	43	8 Letters - Nora En Pure Remix	boy band, dance pop, pop, post-teen pop, teen pop	0.204	0.728	210000	0.9359999999999999	0.00058	0.10300000000000001	-5.306	1	0.102	116.97200000000001	4	0.19699999999999998
577	Why Don't We	43	8 Letters - Nora En Pure Remix	boy band, dance pop, pop, post-teen pop, teen pop	0.204	0.728	210000	0.9359999999999999	0.00058	0.10300000000000001	-5.306	1	0.102	116.97200000000001	4	0.19699999999999998
