,artist_ids,genres_all
115,0hEurMDQu99nJRq8pTxO14,"neo mellow, pop, pop rock, singer-songwriter"
116,6x2LnllRG5uGarZMsD4iO8,"contemporary country, country, country road, modern country rock"
117,5YGY8feqx7naU7z4HrwZM6,"dance pop, pop, post-teen pop"
118,0xOeVMOz2fVg5BJY3N6akT,"hip hop, pop, pop rap, rap, underground hip hop"
119,20wkVLutqVOYrc0kxFs7rA,"canadian contemporary r&b, indie r&b, pop"
120,2wUjUUtkb5lvLKcGKsKqsR,"canadian contemporary r&b, dance pop, pop, post-teen pop, r&b"
121,4tYSBptyGeVyZsk8JC4JHZ,"trap music, underground hip hop, vapor trap"
122,49e4v89VmlDcFCMyDv9wQ9,"adult standards, christmas, easy listening, lounge"
123,5ZS223C6JyBfXasXxrRqOk,"alternative r&b, dance pop, deep pop r&b, hip pop, indie r&b, pop, pop rap, r&b, rap, urban contemporary"
124,6JL8zeS1NmiOftqZTRgdTz,"dance pop, hip pop, pop, post-teen pop"
125,1Bl6wpkWCQ4KVgnASpvzzA,"boy band, hip hop, rap"
126,1Cs0zKBU1kc0i8ypK3B9ai,"dance pop, edm, pop"
127,43ZHCT0cAZBISjO8DG9PnE,"adult standards, christmas, rock-and-roll, rockabilly"
128,6C1ohJrd5VydigQtaGy5Wa,"boston hip hop, hip hop, pop rap, rap"
129,1ZwdS5xdxEREPySFridCfh,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap"
130,5y2Xq6xcjJb2jVM54GHK3t,"neo soul, pop, r&b, urban contemporary"
131,4OBJLual30L7gRl5UkeRcT,"atl hip hop, dance pop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap music"
132,2wUjUUtkb5lvLKcGKsKqsR,"canadian contemporary r&b, dance pop, pop, post-teen pop, r&b"
133,4tYSBptyGeVyZsk8JC4JHZ,"trap music, underground hip hop, vapor trap"
134,49e4v89VmlDcFCMyDv9wQ9,"adult standards, christmas, easy listening, lounge"
135,5ZS223C6JyBfXasXxrRqOk,"alternative r&b, dance pop, deep pop r&b, hip pop, indie r&b, pop, pop rap, r&b, rap, urban contemporary"
136,6JL8zeS1NmiOftqZTRgdTz,"dance pop, hip pop, pop, post-teen pop"
137,1Bl6wpkWCQ4KVgnASpvzzA,"boy band, hip hop, rap"
138,1Cs0zKBU1kc0i8ypK3B9ai,"dance pop, edm, pop"
139,5lwmRuXgjX8xIwlnauTZIP,"bachata, latin, tropical"
140,4sj6D0zlMOl25nprDJBiU9,"adult standards, christmas, easy listening, mellow gold"
141,3e7awlrlDSwF3iM0WBjGMp,"dance pop, girl group, pop, post-teen pop, r&b, talent show"
142,4TEJudQY2pXxVHPE3gD2EU,"hip hop, pop, pop rap, rap, southern hip hop, trap music, vapor trap"
143,329e4yvIujISKGKz1BZZbO,"latin, latin hip hop, reggaeton, trap latino, tropical"
144,3gGUMEwIX6XodWsYEvKSal,"pop rap, rap, trap music, vapor trap"
145,5t28BP42x2axFnqOOMg3CM,"alternative metal, groove metal, nu metal, post-grunge"
146,7pbDxGE6nQSZVfiFdq9lOL,"bedroom pop, indie r&b"
147,4VIvfOurcf0vuLRxLkGnIG,hollywood
148,4dpARuHxo51G3z768sgnrY,pop
149,08GQAI4eElDnROBrJRGE0X,"album rock, mellow gold, rock, soft rock"
150,2RdwBSPQiwcmiDo9kixcl8,"dance pop, pop, pop rap"
151,77AiFEVeAVj2ORpC85QVJs,"big room, dance pop, edm, electro house, pop, tropical house"
152,6VuMaDnrHyPL1p4EHjYLi7,"dance pop, pop, post-teen pop, viral pop"
153,4obzFoKoKRHIphyHzJ35G3,"latin viral pop, pop, reggaeton"
154,3CbYyyd8wH3RT6t0jwpdzC,canadian hip hop
155,3WGpXCj9YhhfX11TToZcXP,"dance pop, pop, post-teen pop, viral pop"
156,3hcs9uc56yIGFCSy9leWe7,"drill, hip hop, rap, southern hip hop, trap music"
157,36QJpDe2go2KgaRleHCDTp,"album rock, classic rock, hard rock, rock"
158,1UTPBmNbXNTittyMJrNkvw,"contemporary country, country, country road"
159,4YLtscXsxbVgi031ovDDdh,contemporary country
160,4aXXDj9aZnlshx7mzj3W1N,"hollywood, show tunes"
161,3q7HBObVc0L8jNeTe5Gofh,"east coast hip hop, gangster rap, hip hop, pop rap, rap"
162,3tJoFztHeIJkJWMrx0td2f,"rap, southern hip hop, trap music, vapor trap"
163,2ye2Wgw4gimLv2eAKyk1NB,"hard rock, metal, rock, speed metal, thrash metal"
164,31TPClRtHm23RisEBtV3X7,"dance pop, pop"
165,0X2BH1fck6amBIoJhDVmmJ,"dance pop, edm, electropop, metropopolis, pop, post-teen pop, r&b, tropical house"
166,3PhoLpVuITZKcymswpck5b,"glam rock, mellow gold, piano rock, rock, soft rock"
167,2RdwBSPQiwcmiDo9kixcl8,"dance pop, pop, pop rap"
168,77AiFEVeAVj2ORpC85QVJs,"big room, dance pop, edm, electro house, pop, tropical house"
169,3A5tHz1SfngyOZM2gItYKu,"hip hop, pop rap, rap, underground hip hop"
